original_Last Updated,original_Category,original_Organization Name,original_Other Organization Name,original_Street Address,original_City,original_State,original_Zip Code,original_Phone Number,original_E-mail,original_Website,original_Discount Description,original_Discount Description (long),original_Cardholder Requirement,original_Authorization for Release of Information,original_Approved for Publishing,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
2018-04-12T00:00:00.000,"Arts, Culture & Entertainment",Chihuly Garden and Glass,,305 Harrison St,Seattle,WA,98109,206-753-4940,info@chihulygardenandglass.com,http://www.chihulygardenandglass.com,Discounted admission for individuals 65+. No GOLD Card required.,Discounted admission for individuals 65+. No GOLD Card required.,No card required,true,true,47.621462,-122.3509886,"Seattle Children's Museum, 305 Harrison Street, Seattle, WA 98109, United States of America",Seattle Children's Museum,305,Harrison Street,98109,Uptown,Belltown,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Utilities & Cable TV,City of Algona,,200 Washington Blvd.,Algona,WA,98001,253-833-2897,,http://www.algonawa.gov/general/page/low-income-seniordisabled-utility-rates,Provides discount rates on City utilities for low-income senior citizen (65+) or people with permanent disabilities.,,No card required,true,true,47.277801249999996,-122.24754955037847,"200 Washington Boulevard, Algona, WA 98001, United States of America",,200,Washington Boulevard,98001,,,Algona,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Utilities & Cable TV,City of Auburn,,25 West Main St.,Auburn,WA,98001,206-804-5078,helpdesk@auburnwa.gov,https://www.auburnwa.gov/cms/one.aspx?portalId=11470638&pageId=12527701,Discount on basic cable service through Comcast for eligible adults age 62+ or with permanent disabilities.,,GOLD or FLASH card required,true,true,47.30773215,-122.23069432886277,"Auburn City Hall, 25 West Main Street, Auburn, WA 98001, United States of America",Auburn City Hall,25,West Main Street,98001,,Downtown,Auburn,King County,Washington,WA,United States,us,0.9,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Utilities & Cable TV,City of Bellevue,,450 110th Avenue NE,Bellevue,WA,98004,425-452-5285,utilities@bellevuewa.gov,https://bellevuewa.gov/city-government/departments/utilities/pay-your-utility-bill/utility-rate-and-tax-relief,Up to 75% off utility costs for qualifying low-income adults age 62+ and persons with disabilities.,,No card required,true,true,47.614466,-122.1923,"450 110th Avenue NE, Bellevue, WA 98004, United States of America",,450,110th Avenue NE,98004,,,Bellevue,King County,Washington,WA,United States,us,0.75,1,0.75,© OpenAddresses contributors,BSD-3-Clause License,
2018-04-12T00:00:00.000,Utilities & Cable TV,City of Black Diamond,,"24301 Roberts Drive, PO Box 599",Black Diamond,WA,98010,360-888-5700,info@ci.blackdiamond.wa.us,https://www.blackdiamondwa.gov/finance/pages/lifeline-utility-discount,"Utility rate reductions of up to 50% for water, sewer and stormwater charges for residents aged 62+ or have a permanent disability, and are low income.",,No card required,true,true,47.311954,-122.018929,"24301 Roberts Drive, Black Diamond, WA 98010, United States of America",,24301,Roberts Drive,98010,,,Black Diamond,King County,Washington,WA,United States,us,0.33333333333333337,1,0.33333333333333337,© OpenAddresses contributors,BSD-3-Clause License,
2018-04-12T00:00:00.000,Utilities & Cable TV,City of Covington,,18631 SE 300th Place,Covington,WA,98042,253-631-0565,frontdesk@covingtonwater.com,https://www.covingtonwater.com/156/Low-Income-Discount,Provides a utility tax rebate for low-income adults over 65 and those with disabilities.,,No card required,true,true,47.33198,-122.093266,"18631 SE 300th Place, Covington, WA 98042, United States of America",,18631,SE 300th Place,98042,,,Covington,King County,Washington,WA,United States,us,0.75,1,0.75,© OpenAddresses contributors,BSD-3-Clause License,
2018-04-12T00:00:00.000,Utilities & Cable TV,City of Enumclaw,,1339 Griffin Ave.,Enumclaw,WA,98022,360-825-3591,utilities@ci.enumclaw.wa.us,https://www.cityofenumclaw.net/169/Utilities,"Utility discount program for low-income individuals aged 65+, or those who are permanently disabled.   Eligible individuals receive 30% discount on basic charges for water, sewer, garbage, and natural gas.",,No card required,true,true,47.2045305,-121.9909315,"Enumclaw City Hall, 1339 Griffin Avenue, Enumclaw, WA 98022, United States of America",Enumclaw City Hall,1339,Griffin Avenue,98022,,,Enumclaw,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Utilities & Cable TV,City of Kirkland,,123 5th Ave,Kirkland,WA,98033,425-587-3150,utilitybilling@kirklandwa.gov,https://www.kirklandwa.gov/Government/Departments/Finance-and-Administration/Customer-Accounts/Utility-Billing,"Offers reduced water, sewer and garbage rates for qualifying low income, single family residential customers who are age 62+ or living with a disability, or home kidney dialysis customers.  Reduced water rates 50% of basic charge, sewer rates 75% of b",,No card required,true,true,47.6780167,-122.2072065,"123 5th Avenue, Kirkland, WA 98033, United States of America",,123,5th Avenue,98033,,,Kirkland,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Utilities & Cable TV,City of Redmond,,15670 NE 85th Street,Redmond,WA,98052,425-556-2152,utilitybilling@redmond.gov,https://www.redmond.gov/488/Low-Income-Discounts,Provides a 50% discount on City of Redmond utility bills for qualifying low-income senior citizens (62+) and those who are disabled (18 years or older).,,No card required,true,true,47.67907,-122.131116,"15670 NE 85th Street, Redmond, WA 98052, United States of America",,15670,NE 85th Street,98052,,,Redmond,King County,Washington,WA,United States,us,0.75,1,0.75,© OpenAddresses contributors,BSD-3-Clause License,
2018-04-12T00:00:00.000,Utilities & Cable TV,City of Seattle - Utility Discount Program,,PO Box 34215,Seattle,WA,98124,206-684-0268,udp@seattle.gov,http://www.seattle.gov/humanservices/services-and-programs/utility-discount-program,Offers income-eligible customers 60% discount on their Seattle City Light bill and 50% discount on their Seattle Public Utilities bill.,Eligible participants can also receive some annual free transfer station passes and possible emergency assistance if need immediate help with a past-due utility balance.,No card required,true,true,47.673455,-122.331537,"Seattle, WA, United States of America",,,,,,,Seattle,King County,Washington,WA,United States,us,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
2018-04-12T00:00:00.000,Utilities & Cable TV,City of Shoreline,,17500 Midvale Ave N,Shoreline,WA,98133,206-801-2260,crteam@shorelinewa.gov,https://www.shorelinewa.gov/services/human-services/utility-assistance-programs,"Utility assistance qualifying customers (residents age 65+, low-income residents with disabilities, and low-income residents) of Seattle City Light (SCL) and Seattle Public Utilities (SPU - water) can save 50% on electric & water bills.   Utility assi",,No card required,true,true,47.756353250000004,-122.34340573210048,"Shoreline City Hall, 17500 Midvale Avenue North, Shoreline, WA 98133, United States of America",Shoreline City Hall,17500,Midvale Avenue North,98133,Meridian Park,,Shoreline,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Utilities & Cable TV,City of Tukwila,,6200 Southcenter Boulevard,Tukwila,WA,98188,206-433-7190,Finance@tukwilawa.gov,http://www.tukwilawa.gov/departments/finance/finance-department-utilities,"Through the Utility Relief Program, provides reduction in electricity and gas for customers age 62+ or those permanently disabled; income restrictions apply.",,No card required,true,true,47.4631499,-122.25531655538637,"Tukwila City Hall, 6200 Southcenter Boulevard, Tukwila, WA 98188, United States of America",Tukwila City Hall,6200,Southcenter Boulevard,98188,,,Tukwila,King County,Washington,WA,United States,us,0.6666666666666667,1,0.6666666666666667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-07-10T00:00:00.000,Health & Medical,Clear Hearing and Audiology,,201 Yale Ave N,Seattle,WA,98109,206-596-2099,shivani@clearhearingseattle.com,https://www.ClearHearingSeattle.com,This discount entitles you to an entry-level hearing aid for only $500. Schedule a consultation and you may try this technology for FREE before you buy it! Fitting and follow-up services are not included.,This discount entitles you to an entry-level hearing aid for only $500. Schedule a consultation and you may try this technology for FREE before you buy it! Fitting and follow-up services are not included.,No card required,true,true,47.6197972,-122.3306212,"Go PT, 201 Yale Avenue North, Seattle, WA 98109, United States of America",Go PT,201,Yale Avenue North,98109,South Lake Union,First Hill,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,"Home, Garden & Home Repair","Collier Plumber, Inc",,10814 5th Ave S,Seattle,WA,98168,206-246-5325,collierplumber@clearwire.net,http://www.collierplumber.com,10% off plumbing repairs.  Age 60+.,,No card required,true,true,47.50641275,-122.32708945,"10814 5th Avenue South, Seattle, WA 98168, United States of America",,10814,5th Avenue South,98168,Top Hat,,Seattle,King County,Washington,WA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4/12/2018,Fitness & Recreation; Classes & Learning,"Colman Pool (summer only), Seattle Parks and Recreation",,8603 Fauntleroy Way SW,Seattle,WA,98136,206-684-7494,,http://www.seattle.gov/parks/find/pools/colman-pool,"Enjoying a stunning setting on the beach, the pool is heated saltwater, and has an ADA lift and portable access stairs.",Details on senior discounts at: https://www.seattle.gov/parks/find/pools/pool-admissions-fees. Further reduced price scholarships for income eligible individuals at: https://www.seattle.gov/parks/find/scholarships-and-financial-aid,No card required,true,true,47.53042,-122.400714,"8603 Fauntleroy Way SW, Seattle, WA 98136, United States of America",,8603,Fauntleroy Way SW,98136,,Fauntleroy,Seattle,King County,Washington,WA,United States,us,0.75,1,0.75,© OpenAddresses contributors,BSD-3-Clause License,
4/12/2018,Elder Care,Community Living Connections,,.,.,.,.,206-962-8467,info@communitylivingconnections.org,http://www.communitylivingconnections.org,"Free, objective, confidential information by phone or appointment about community resources and service options for older adults, adults with disabilities, caregivers, and family members.",,No card required,true,true,,,,,,,,,,,,,,,,,,,,,
2018-04-12T00:00:00.000,Auto Services & Transportation,Courtesy Tire,,4820 California Ave SW,Seattle,WA,98116,206-932-5044,,http://www.courtesytire.com,10% off labor. 10% off tires (excluding ad prices).  Age 60+ or adults with disabilities,,No card required,true,true,47.5589099,-122.38632025443545,"Courtesy Tire, 4820 California Avenue Southwest, Seattle, WA 98116, United States of America",Courtesy Tire,4820,California Avenue Southwest,98116,,West Seattle,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Utilities & Cable TV,Covington Water District,,.,Covington,WA,.,253-631-0565,frontdesk@covingtonwater.com,http://www.covingtonwater.com/156/Low-Income-Discount,Offers qualified low income senior citizens (62+) and low-income disabled customers a rate discount.   The discount is equivalent to the standard residential flat rate.,,No card required,true,true,47.3657791,-122.100222,"Covington, WA 98042, United States of America",,,,98042,,,Covington,King County,Washington,WA,United States,us,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
6/1/2021,Other,Day Interpreting,,415 Madison Avenue 14th floor,New York,NY,10017,1-800-969-6853,support@daytranslations.com,https://dayinterpreting.com/,"10% discount on any translation and interpretation services. Our company provides real-time multilingual interpreting. You can connect to a phone interpreter instantly with our easy to use, real-time interpretation app.",,No card required,true,true,40.756707,-73.976246,"415 Madison Avenue, New York, NY 10017, United States of America",,415,Madison Avenue,10017,Manhattan,Midtown East,New York,New York County,New York,NY,United States,us,0.4,1,0.4,© OpenAddresses contributors,BSD-3-Clause License,
2019-04-19T00:00:00.000,Other,"Day Translations, Inc.",Day Translations,"415 Madison Avenue, 14th Floor",New York,NY,10017,212-537-6123,contact@daytranslations.com,https://www.daytranslations.com/,10% discount on any of our translation and interpretation services.,,No card required,true,true,40.756707,-73.976246,"415 Madison Avenue, New York, NY 10017, United States of America",,415,Madison Avenue,10017,Manhattan,Midtown East,New York,New York County,New York,NY,United States,us,0.4,1,0.4,© OpenAddresses contributors,BSD-3-Clause License,
2018-04-12T00:00:00.000,Legal & Financial,"Donaldson & Knigge, LLC",,210 Summit Ave E,Seattle,WA,98102,206-915-0137,lisadonaldson@seattletrafficlawyer.com,http://www.seattletrafficlawyer.com,Free initial phone consultation 10% discount off traffic ticket defense,,No card required,true,true,47.620045399999995,-122.32502384988726,"Windermere Property Management, 210 Summit Avenue East, Seattle, WA 98102, United States of America",Windermere Property Management,210,Summit Avenue East,98102,,Capitol Hill,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Auto Services & Transportation,Downtown Automotive,,702 6th Ave N,Seattle,WA,98109,206-270-8500,rsimpokes@yahoo.com,http://www.downtownautomotiveinc.com,10% off labor,,GOLD card required,true,true,47.6255821,-122.3445298,"702 6th Avenue North, Seattle, WA 98109, United States of America",,702,6th Avenue North,98109,South Lake Union,Belltown,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Auto Services & Transportation,Eurocar Service,,5821 Roosevelt Way NE,Seattle,WA,98105,206-527-8828,info@eurocarservice.com,http://www.eurocarservice.com,10% off labor up to $50 Cannot be combined with any other offer,,No card required,true,true,47.671258,-122.317615,"5821 Roosevelt Way NE, Seattle, WA 98105, United States of America",,5821,Roosevelt Way NE,98105,,University District,Seattle,King County,Washington,WA,United States,us,0.75,1,0.75,© OpenAddresses contributors,BSD-3-Clause License,
4/12/2018,Fitness & Recreation; Classes & Learning,"Evans Pool, Seattle Parks and Recreation",,7201 E Greenlake Dr N,Seattle,WA,98115,206-684-4961,,http://www.seattle.gov/parks/find/pools/evans-pool,"We offer adult and senior adult lessons and our many exercise programs include shallow water aerobics, deep water aerobics, and ""Swimstrong"" workouts. We also offer family swim, public swim, and lap swim times.",Details on senior discounts at: https://www.seattle.gov/parks/find/pools/pool-admissions-fees. Further reduced price scholarships for income eligible individuals at: https://www.seattle.gov/parks/find/scholarships-and-financial-aid,No card required,true,true,47.680269,-122.328667,"7201 East Green Lake Drive North, Seattle, WA 98115, United States of America",,7201,East Green Lake Drive North,98115,,Green Lake,Seattle,King County,Washington,WA,United States,us,0.4444444444444444,1,0.4444444444444444,© OpenAddresses contributors,BSD-3-Clause License,
2018-04-12T00:00:00.000,"Home, Garden & Home Repair",Greenwood True Value Hardware,,7201 Greenwood Ave N,Seattle,WA,98103,206-783-2900,ghw@greenwoodharware.com,http://www.greenwoodhardware.com,"10% off all items, except sale items Age 60+ or adults with disabilities",,No card required,true,true,47.6809029,-122.3555157,"Greenwood Hardware, 7201 Greenwood Avenue North, Seattle, WA 98103, United States of America",Greenwood Hardware,7201,Greenwood Avenue North,98103,,Phinney Ridge,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-05-19T00:00:00.000,Food & Beverage / Restaurant,Happy Tea,,14314 Greenwood Ave N %232,Seattle,WA,98133,206-402-3959,happyteafood@gmail.com,,10% off with GOLD or FLASH card. Card required.,"10% off purchase, excluding sales tax, any day of the week.",Both Gold and FLASH card,true,true,47.65695,-122.355485,"Greenwood Avenue North, Seattle, WA 98103, United States of America",,,Greenwood Avenue North,98103,,Fremont,Seattle,King County,Washington,WA,United States,us,0.3969,1,0.3969,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4/12/2018,Fitness & Recreation; Classes & Learning,"Helene Madison Pool, Seattle Parks and Recreation",,13401 Meridian Ave N,Seattle,WA,98133,206-684-4979,,http://www.seattle.gov/parks/find/pools/madison-pool,"We offer adult and senior adult lessons and a variety of exercise classes. We also offer family swim, public swim, and lap swim times.",Details on senior discounts at: https://www.seattle.gov/parks/find/pools/pool-admissions-fees. Further reduced price scholarships for income eligible individuals at: https://www.seattle.gov/parks/find/scholarships-and-financial-aid,,true,true,47.7257262,-122.33478664238112,"Madison Pool, 13401 Meridian Avenue North, Seattle, WA 98133, United States of America",Madison Pool,13401,Meridian Avenue North,98133,,Haller Lake,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Retail Shopping,J&B African Market,,10327 3rd Ave S,Seattle,WA,98168,206-915-5178,jpappoe@gmail.com,http://www.jbafricanmarket.com,10% off full retail price,,GOLD or FLASH card required,true,true,47.5106524,-122.33043305157895,"10327 3rd Avenue South, Seattle, WA 98168, United States of America",,10327,3rd Avenue South,98168,Top Hat,,Seattle,King County,Washington,WA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-10-05T00:00:00.000,Other,Jet Gift Baskets,,"30 N Gould St Ste R, Sheridan, WY 82801",Sheridan,WY,82801,,candace.jetgiftbaskets@gmail.com,https://www.jetgiftbaskets.com/,"20% discount when you purchase at our website: https://www.jetgiftbaskets.com. Just use coupon code ""SEATTLE20"" at checkout.",,No card required,true,true,44.794691,-106.957712,"Sheridan, WY, United States of America",,,,,,,Sheridan,Sheridan County,Wyoming,WY,United States,us,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
2018-04-12T00:00:00.000,Health & Medical,Kang Acupuncture & Herbal Medicine Center,,11226 NE 15th St,Bellevue,WA,98004,425-401-8885,,http://www.kangacupunctureherbs.com,"20% off acupuncture treatments, 10% off Chinese herbs.  Age 60+ or adults with disabilities.",,No card required,true,true,47.6231438,-122.1553819,"Northeast 15th, Bellevue, WA 98007, United States of America",Northeast 15th,,Northeast 15th,98007,,,Bellevue,King County,Washington,WA,United States,us,0.567,1,0.567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,"Arts, Culture & Entertainment",Last Resort Fire Department Museum,,301 2nd Ave S,Seattle,WA,98104,206-783-4474,lastresortfd@hotmail.com,http://www.lastresortfd.org,Free admission,,GOLD or FLASH card required,true,true,47.523428,-122.3317834,"2nd Avenue South, Seattle, WA 98106, United States of America",2nd Avenue South,,2nd Avenue South,98106,South Park,,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Auto Services & Transportation,Lee's Automotive,,13281 Aurora Ave N,Seattle,WA,98133,206-204-0990,info@leesautomotive.com,http://www.leesautomotive.com,10% off,,No card required,true,true,47.7298207,-122.344566,"Five Star Autos, 13281 Aurora Avenue North, Seattle, WA 98133, United States of America",Five Star Autos,13281,Aurora Avenue North,98133,Bitter Lake,Haller Lake,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4/12/2018,Fitness & Recreation;#Classes & Learning,"Lifelong Recreation Program, Seattle Parks and Recreation",,.,Seattle,WA,.,206-849-6564,cheryl.brown@seattle.gov,https://www.seattle.gov/parks/find/for-adults-50,View brochure for details on in-person & virtual classes at link included. Further reduced price scholarships for income eligible individuals at: https://www.seattle.gov/parks/find/scholarships-and-financial-aid,Follow along with our pre-recorded virtual recreation videos on YouTube: https://www.youtube.com/playlist?list=PLAwCwKoesrp6GbPB6Wze6wxJV25zU_n56.,No card required,true,true,47.6038321,-122.330062,"Seattle, WA, United States of America",,,,,,,Seattle,King County,Washington,WA,United States,us,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4/12/2018,Fitness & Recreation; Classes & Learning,"Meadowbrook Pool, Seattle Parks and Recreation",,10515 35th Ave NE,Seattle,WA,98125,206-684-4989,,http://www.seattle.gov/parks/find/pools/meadowbrook-pool,"We offer adult and senior adult lessons. Exercise programs offered include aqua jogging, hyrdofit exercise, and water exercise. We also offer family swim, public swim, and lap swim times.",Details on senior discounts at: https://www.seattle.gov/parks/find/pools/pool-admissions-fees. Further reduced price scholarships for income eligible individuals at: https://www.seattle.gov/parks/find/scholarships-and-financial-aid,No card required,true,true,47.7054377,-122.2915556,"Meadowbrook Pool, 10515 35th Avenue Northeast, Seattle, WA 98125, United States of America",Meadowbrook Pool,10515,35th Avenue Northeast,98125,Alicia Park,Lake City,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4/12/2018,Fitness & Recreation; Classes & Learning,"Mounger Pool (summer only), Seattle Parks and Recreation",,2535 32nd Ave W,Seattle,WA,98199,206-684-4708,,http://www.seattle.gov/parks/find/pools/mounger-pool,Enjoy the outdoor pool with an ADA lift and portable access stairs.,Details on senior discounts at: https://www.seattle.gov/parks/find/pools/pool-admissions-fees. Further reduced price scholarships for income eligible individuals at: https://www.seattle.gov/parks/find/scholarships-and-financial-aid,No card required,true,true,47.6423845,-122.3985133,"2535 32nd Avenue West, Seattle, WA 98199, United States of America",,2535,32nd Avenue West,98199,Magnolia Village,Magnolia,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,"Hair, Skin & Spa",NCN Hair Pro Salon,,"10700 SE 208th St, Unit %23106",Renton,WA,98031,206-283-1291,nuongdang0712@yahoo.com,,25% discount.  Gold or Flash Card required.,,No card required,true,true,47.475649,-122.195335,"Renton, WA, United States of America",,,,,,,Renton,King County,Washington,WA,United States,us,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
